,zonas,enderecos,precos,areas,quartos
78,sul,"Rua Bento De Faria, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",2500,220,4.0
79,sul,"Rua Abílio Soares, Paraíso, São Paulo Zona Sul, São Paulo",6624,200,3.0
80,sul,"Rua Coronel Pedro De Oliveira, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1530,110,2.0
81,sul,"Clemente Pereira, Ipiranga, São Paulo Zona Sul, São Paulo",3000,69,2.0
82,sul,"Rua Humberto I, Vila Mariana, São Paulo Zona Sul, São Paulo",2000,16,
83,sul,"Rua Do Boqueirão, Saúde, São Paulo Zona Sul, São Paulo",1785,52,2.0
84,sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",3262,41,
85,sul,"Rua Corgie Assad Abdalla, Vila Sônia, São Paulo Zona Sul, São Paulo",2351,102,3.0
86,sul,"Rua Peixoto Gomide, Jardim Paulista, São Paulo Zona Sul, São Paulo",1500,55,
87,sul,"Rua Lino Coutinho, Ipiranga, São Paulo Zona Sul, São Paulo",7800,110,3.0
88,sul,"Rua Doutor José De Queirós Aranha, Vila Mariana, São Paulo Zona Sul, São Paulo",1566,20,
89,sul,"Rua Bueno De Andrade, Aclimação, São Paulo Zona Sul, São Paulo",1350,17,
90,sul,"Rua Professor Vahia De Abreu, Vila Olímpia, São Paulo Zona Sul, São Paulo",4200,63,2.0
91,sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",2299,41,
92,sul,"Rua Francisco Tapajós, Vila Santo Estéfano, São Paulo Zona Sul, São Paulo",1400,63,2.0
93,sul,"Rua João Alves Dos Santos, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",5000,145,3.0
94,sul,"Rua Nova York, Brooklin Paulista, São Paulo Zona Sul, São Paulo",4000,120,3.0
95,sul,"Rua Doutor Renato Paes De Barros, Itaim Bibi, São Paulo Zona Sul, São Paulo",2250,52,
96,sul,"Rua Tabapuã, Itaim Bibi, São Paulo Zona Sul, São Paulo",3000,89,2.0
97,sul,"Rua Doná Vitu Giorgi, Jardim Leonor, São Paulo Zona Sul, São Paulo",1575,71,2.0
